DBN,schoolyear,% of cohort,fl_percent,frl_percent,total_enrollment,grade9,grade10,grade11,grade12,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,has_junior_high,total_elem,total_kg,has_kg,has_elem,total_junior_high,only_hs,levels_not_hs
25Q460,2005,64.1,60.2,0.0,2661,1012.0,825.0,484.0,340.0,23.6,7.9,23.1,20.7,48.9,5.3,53.3,46.7,0,0.0,0.0,0,0,0.0,1,0
09X404,2005,77.1,81.4,0.0,390,140.0,94.0,81.0,75.0,5.9,11.8,1.8,41.8,54.1,0.5,44.4,55.6,0,0.0,0.0,0,0,0.0,1,0
02M655,2008,74.8,62.6,0.0,686,152.0,151.0,128.0,107.0,5.1,15.7,2.3,29.9,65.0,1.6,50.0,50.0,1,0.0,0.0,0,0,148.0,0,1
02M550,2008,65.1,79.5,0.0,410,126.0,92.0,97.0,95.0,80.2,3.9,28.8,17.8,34.1,18.8,62.4,37.6,0,0.0,0.0,0,0,0.0,1,0
02M565,2006,72.7,10.6,0.0,131,19.0,110.0,2.0,0.0,1.5,0.8,3.8,37.4,24.4,30.5,40.5,59.5,0,0.0,0.0,0,0,0.0,1,0
18K635,2011,34.3,0.0,51.1,203,20.0,142.0,21.0,20.0,1.5,9.4,1.0,86.2,11.3,1.0,50.2,49.8,0,0.0,0.0,0,0,0.0,1,0
11X270,2011,85.3,0.0,63.7,606,100.0,89.0,96.0,82.0,6.3,18.5,2.5,63.7,32.0,0.7,52.0,48.0,1,0.0,0.0,0,0,239.0,0,1
25Q792,2008,35.1,41.7,0.0,199,77.0,88.0,29.0,5.0,0.5,8.5,11.1,34.7,40.7,11.6,53.3,46.7,0,0.0,0.0,0,0,0.0,1,0
11X265,2011,87.7,0.0,75.5,482,156.0,117.0,114.0,95.0,3.7,15.8,2.7,37.8,57.3,1.7,59.5,40.5,0,0.0,0.0,0,0,0.0,1,0
28Q470,2007,61.0,24.4,0.0,1787,582.0,567.0,410.0,228.0,13.8,8.3,19.1,59.0,17.5,1.1,51.7,48.3,0,0.0,0.0,0,0,0.0,1,0
10X475,2005,45.3,78.0,0.0,3419,1636.0,927.0,411.0,445.0,19.8,14.0,2.2,28.8,65.7,2.0,57.6,42.4,0,0.0,0.0,0,0,0.0,1,0
13K575,2009,57.1,0.0,85.7,112,5.0,35.0,29.0,43.0,0.0,0.0,0.0,84.8,13.4,0.0,39.3,60.7,0,0.0,0.0,0,0,0.0,1,0
02M655,2010,86.7,0.0,80.0,674,169.0,146.0,120.0,113.0,7.6,19.6,3.4,28.6,64.8,1.6,53.1,46.9,1,0.0,0.0,0,0,126.0,0,1
16K393,2005,97.1,61.9,0.0,348,87.0,0.0,0.0,0.0,0.0,7.2,1.1,89.4,6.9,0.6,46.6,53.4,1,0.0,0.0,0,0,261.0,0,1
14K071,2007,63.3,76.6,0.0,951,112.0,96.0,101.0,69.0,19.2,24.0,0.5,22.3,73.6,3.2,52.8,47.2,1,0.0,0.0,0,0,573.0,0,1
14K478,2011,82.1,0.0,74.2,976,303.0,301.0,172.0,200.0,9.9,13.2,3.2,39.3,55.4,1.9,65.7,34.3,0,0.0,0.0,0,0,0.0,1,0
12X248,2006,78.3,80.4,0.0,231,139.0,92.0,0.0,0.0,11.7,10.4,1.7,41.1,53.7,0.9,48.9,51.1,0,0.0,0.0,0,0,0.0,1,0
19K583,2009,47.6,0.0,72.9,344,95.0,134.0,115.0,0.0,89.8,0.9,0.3,1.5,97.1,0.0,49.7,50.3,0,0.0,0.0,0,0,0.0,1,0
29Q494,2011,82.8,0.0,45.1,454,196.0,119.0,75.0,64.0,2.9,13.9,4.4,83.3,10.6,0.9,48.7,51.3,0,0.0,0.0,0,0,0.0,1,0
25Q525,2010,100.0,0.0,39.7,1098,281.0,276.0,269.0,272.0,0.0,0.3,53.5,5.6,12.7,26.2,31.2,68.8,0,0.0,0.0,0,0,0.0,1,0
12X271,2010,82.2,0.0,93.4,629,95.0,98.0,84.0,94.0,11.3,21.8,2.7,30.7,65.8,0.5,52.5,47.5,1,0.0,0.0,0,0,258.0,0,1
09X263,2007,71.4,78.3,0.0,336,112.0,116.0,108.0,0.0,13.1,11.9,0.3,33.3,61.0,0.3,32.1,67.9,0,0.0,0.0,0,0,0.0,1,0
08X405,2008,64.9,66.8,0.0,4089,1585.0,1183.0,785.0,536.0,7.6,15.7,5.9,22.7,60.7,9.7,59.8,40.2,0,0.0,0.0,0,0,0.0,1,0
27Q260,2009,64.3,0.0,76.4,421,139.0,125.0,87.0,70.0,1.7,11.6,5.0,68.9,19.2,1.9,49.2,50.8,0,0.0,0.0,0,0,0.0,1,0
29Q496,2005,69.9,15.8,0.0,546,226.0,187.0,66.0,67.0,2.6,11.9,4.4,81.1,9.0,1.8,62.1,37.9,0,0.0,0.0,0,0,0.0,1,0
06M463,2011,70.1,0.0,83.8,572,212.0,147.0,90.0,123.0,26.9,17.0,1.0,10.7,87.1,0.5,63.5,36.5,0,0.0,0.0,0,0,0.0,1,0
02M459,2009,85.9,0.0,94.4,309,119.0,74.0,62.0,54.0,67.0,1.0,24.3,17.5,41.4,16.2,49.2,50.8,0,0.0,0.0,0,0,0.0,1,0
22K425,2008,77.4,28.9,0.0,3406,994.0,872.0,788.0,752.0,8.2,9.8,17.5,23.3,15.4,43.6,53.9,46.1,0,0.0,0.0,0,0,0.0,1,0
30Q502,2005,70.8,52.3,0.0,724,290.0,270.0,164.0,0.0,12.7,7.9,14.6,18.6,50.3,12.7,56.8,43.2,0,0.0,0.0,0,0,0.0,1,0
21K348,2011,82.1,0.0,69.2,370,129.0,86.0,91.0,64.0,2.4,14.6,2.7,68.4,23.0,5.9,88.9,11.1,0,0.0,0.0,0,0,0.0,1,0
02M460,2010,51.8,0.0,65.8,1231,357.0,347.0,301.0,226.0,20.1,16.1,4.8,32.8,60.0,2.1,46.4,53.6,0,0.0,0.0,0,0,0.0,1,0
02M460,2009,58.6,0.0,68.8,1478,343.0,407.0,433.0,295.0,20.0,12.3,5.0,31.1,61.0,2.3,45.6,54.4,0,0.0,0.0,0,0,0.0,1,0
08X293,2005,80.0,60.1,0.0,270,130.0,101.0,39.0,0.0,2.2,6.3,2.6,34.4,53.7,5.2,28.5,71.5,0,0.0,0.0,0,0,0.0,1,0
10X225,2005,95.8,64.1,0.0,386,83.0,0.0,0.0,0.0,4.7,8.0,1.8,24.4,67.4,4.9,33.4,66.6,1,0.0,0.0,0,0,303.0,0,1
32K554,2009,97.1,0.0,94.2,251,34.0,37.0,36.0,49.0,2.4,5.2,1.6,18.3,80.1,0.0,54.6,45.4,1,0.0,0.0,0,0,95.0,0,1
12X550,2010,72.2,0.0,97.7,379,91.0,159.0,85.0,44.0,87.9,0.3,4.2,6.6,74.7,1.1,52.5,47.5,0,0.0,0.0,0,0,0.0,1,0
31R450,2011,81.6,0.0,54.3,2552,845.0,827.0,504.0,376.0,6.1,14.7,7.3,38.4,31.9,21.8,46.4,53.6,0,0.0,0.0,0,0,0.0,1,0
24Q550,2005,76.6,80.2,0.0,796,377.0,192.0,104.0,123.0,15.8,8.4,5.7,6.9,81.0,4.3,45.7,54.3,0,0.0,0.0,0,0,0.0,1,0
02M575,2009,36.1,0.0,92.0,862,1.0,379.0,295.0,187.0,65.4,2.9,33.2,33.5,27.4,4.8,57.8,42.2,0,0.0,0.0,0,0,0.0,1,0
02M449,2010,80.2,0.0,79.7,428,147.0,120.0,92.0,69.0,6.5,18.0,9.3,26.9,59.6,3.5,45.6,54.4,0,0.0,0.0,0,0,0.0,1,0
06M462,2011,68.2,0.0,89.3,630,178.0,154.0,153.0,145.0,43.0,13.7,0.5,5.2,91.4,1.4,63.8,36.2,0,0.0,0.0,0,0,0.0,1,0
19K618,2010,74.7,0.0,95.5,302,113.0,102.0,87.0,0.0,15.2,19.5,8.6,36.4,50.7,3.6,65.6,34.4,0,0.0,0.0,0,0,0.0,1,0
10X397,2009,23.1,0.0,98.8,165,85.0,80.0,0.0,0.0,81.8,0.0,9.1,13.9,73.3,1.8,60.6,39.4,0,0.0,0.0,0,0,0.0,1,0
28Q690,2006,87.5,40.7,0.0,594,182.0,144.0,123.0,145.0,0.3,8.2,3.5,74.4,16.3,2.5,43.1,56.9,0,0.0,0.0,0,0,0.0,1,0
24Q600,2007,85.4,34.9,0.0,1176,387.0,355.0,339.0,95.0,6.7,14.5,8.9,13.2,66.8,10.7,60.9,39.1,0,0.0,0.0,0,0,0.0,1,0
17K539,2011,79.8,0.0,65.3,422,112.0,125.0,93.0,92.0,8.8,19.2,2.1,87.0,9.0,1.7,63.3,36.7,0,0.0,0.0,0,0,0.0,1,0
09X252,2005,90.4,60.0,0.0,112,112.0,0.0,0.0,0.0,0.0,8.9,2.7,30.4,60.7,1.8,44.6,55.4,0,0.0,0.0,0,0,0.0,1,0
10X549,2005,72.9,25.3,0.0,267,115.0,113.0,39.0,0.0,13.5,19.1,1.1,32.2,60.7,1.5,47.9,52.1,0,0.0,0.0,0,0,0.0,1,0
09X412,2005,64.7,93.7,0.0,482,157.0,129.0,122.0,74.0,11.2,14.5,1.7,34.4,61.8,0.8,53.5,46.5,0,0.0,0.0,0,0,0.0,1,0
17K537,2006,72.0,73.0,0.0,324,149.0,115.0,60.0,0.0,5.2,9.9,1.5,86.7,10.2,0.6,50.9,49.1,0,0.0,0.0,0,0,0.0,1,0
09X414,2007,53.8,75.9,0.0,484,154.0,153.0,111.0,66.0,26.2,16.9,2.1,30.0,66.1,0.8,53.7,46.3,0,0.0,0.0,0,0,0.0,1,0
13K670,2007,97.5,48.0,0.0,924,212.0,261.0,246.0,205.0,0.1,3.2,2.9,77.2,12.8,1.6,40.3,59.7,0,0.0,0.0,0,0,0.0,1,0
11X541,2009,56.4,0.0,83.9,467,177.0,155.0,68.0,67.0,16.1,16.7,2.8,40.3,52.9,3.4,59.3,40.7,0,0.0,0.0,0,0,0.0,1,0
25Q425,2007,73.0,70.7,0.0,3049,1226.0,768.0,503.0,552.0,24.8,10.5,23.3,23.9,47.5,4.9,48.8,51.2,0,0.0,0.0,0,0,0.0,1,0
13K412,2007,77.2,61.1,0.0,219,120.0,99.0,0.0,0.0,2.7,17.8,0.5,77.2,15.5,1.4,50.7,49.3,0,0.0,0.0,0,0,0.0,1,0
07X500,2008,86.4,64.7,0.0,517,71.0,90.0,59.0,73.0,5.8,12.8,2.5,27.3,69.8,0.4,43.9,56.1,1,0.0,0.0,0,0,224.0,0,1
04M409,2007,59.4,71.8,0.0,425,188.0,110.0,68.0,59.0,7.5,17.6,0.9,32.5,64.9,0.9,45.9,54.1,0,0.0,0.0,0,0,0.0,1,0
10X477,2009,94.8,0.0,94.9,445,112.0,121.0,129.0,83.0,31.9,7.4,11.2,18.2,62.9,5.8,45.6,54.4,0,0.0,0.0,0,0,0.0,1,0
21K525,2005,82.6,22.6,0.0,3985,1232.0,1294.0,651.0,808.0,8.0,8.8,21.4,27.2,14.8,33.9,38.7,61.3,0,0.0,0.0,0,0,0.0,1,0
10X442,2007,86.7,73.9,0.0,348,109.0,125.0,55.0,59.0,7.2,6.0,0.6,32.5,64.4,2.3,39.4,60.6,0,0.0,0.0,0,0,0.0,1,0
23K647,2009,58.3,0.0,81.2,191,19.0,80.0,57.0,35.0,1.6,8.9,0.5,83.8,14.7,0.5,39.8,60.2,0,0.0,0.0,0,0,0.0,1,0
31R080,2007,88.9,25.3,0.0,1272,135.0,124.0,116.0,100.0,2.4,13.4,8.1,17.1,17.1,57.3,50.9,49.1,1,434.0,75.0,1,1,288.0,0,3
09X413,2007,84.5,68.7,0.0,505,113.0,115.0,85.0,59.0,4.4,5.5,7.3,41.8,47.9,0.8,33.7,66.3,1,0.0,0.0,0,0,133.0,0,1
05M692,2005,99.1,11.6,0.0,403,109.0,125.0,85.0,84.0,0.0,0.7,25.1,18.9,26.6,24.1,63.8,36.2,0,0.0,0.0,0,0,0.0,1,0
21K559,2010,93.5,0.0,80.5,219,72.0,52.0,62.0,33.0,3.7,17.8,5.9,42.0,34.2,17.4,48.4,51.6,0,0.0,0.0,0,0,0.0,1,0
17K751,2011,82.4,0.0,87.7,138,111.0,27.0,0.0,0.0,8.0,15.2,3.6,81.2,13.8,1.4,27.5,72.5,0,0.0,0.0,0,0,0.0,1,0
02M408,2008,96.2,14.0,0.0,449,90.0,98.0,84.0,96.0,0.2,4.0,3.8,28.1,18.0,47.7,26.5,73.5,1,0.0,0.0,0,0,81.0,0,1
29Q248,2010,79.2,0.0,61.2,392,105.0,93.0,100.0,94.0,4.6,12.2,3.8,87.2,7.1,0.5,57.1,42.9,0,0.0,0.0,0,0,0.0,1,0
10X268,2005,67.4,60.0,0.0,112,112.0,0.0,0.0,0.0,75.0,0.0,3.6,5.4,85.7,3.6,42.0,58.0,0,0.0,0.0,0,0,0.0,1,0
22K555,2010,100.0,0.0,72.5,620,142.0,135.0,135.0,149.0,0.6,2.1,4.8,78.1,14.2,1.9,34.0,66.0,1,0.0,0.0,0,0,59.0,0,1
02M425,2007,84.1,50.2,0.0,693,313.0,183.0,80.0,117.0,5.2,14.9,10.5,28.3,55.6,5.3,49.9,50.1,0,0.0,0.0,0,0,0.0,1,0
13K595,2005,98.7,34.1,0.0,290,74.0,117.0,99.0,0.0,0.3,3.8,0.7,80.7,10.0,0.0,47.2,52.8,0,0.0,0.0,0,0,0.0,1,0
17K544,2005,79.8,82.0,0.0,291,132.0,119.0,39.0,1.0,1.7,4.5,0.0,89.7,8.9,0.0,39.2,60.8,0,0.0,0.0,0,0,0.0,1,0
20K485,2007,85.4,66.5,0.0,1248,433.0,387.0,224.0,204.0,5.7,15.1,17.9,13.2,50.4,17.3,55.8,44.2,0,0.0,0.0,0,0,0.0,1,0
05M499,2009,88.9,0.0,71.8,1596,343.0,300.0,223.0,257.0,1.2,6.9,1.3,72.6,24.2,0.7,48.2,51.8,1,0.0,0.0,0,0,473.0,0,1
19K504,2008,65.5,62.2,0.0,426,168.0,115.0,86.0,57.0,4.9,14.1,0.5,75.4,21.8,0.7,53.3,46.7,0,0.0,0.0,0,0,0.0,1,0
26Q566,2011,92.5,0.0,39.5,1196,344.0,322.0,279.0,251.0,2.5,13.9,23.8,46.3,16.8,12.3,45.8,54.2,0,0.0,0.0,0,0,0.0,1,0
02M542,2011,95.1,0.0,83.5,541,149.0,168.0,138.0,86.0,72.6,1.7,0.2,0.0,99.8,0.0,51.4,48.6,0,0.0,0.0,0,0,0.0,1,0
11X249,2005,95.1,82.5,0.0,203,117.0,86.0,0.0,0.0,11.8,4.4,3.0,42.4,47.8,1.5,31.0,69.0,0,0.0,0.0,0,0,0.0,1,0
